original,canonical
vegetable cutlet,vegetable cutlet
egg cutlet (anda cutlet),egg cutlet (anda cutlet)
flattened rice cutlet (chirwa cutlet/chivda cutlet/poha cutlet),flattened rice cutlet (chirwa cutlet/chivda cutlet/poha cutlet)
vegetable burger,cheese patties
cheese patties,cheese patties
paneer patties,cheese patties
vegetable patties ,cheese patties
cheese pizza,pizza
pizza,pizza
masala vada,masala vada
plain urad dal vada (uzunne vada/minapa garelu/ulundu vadai/medu vada),masala vada
masala urad dal vada,masala vada
peanut brittle (moongfali ki chikki),peanut brittle (moongfali ki chikki)
sesame chickpeas brittle (til aur channe ki chikki),peanut brittle (moongfali ki chikki)
spring roll,spring roll
dry mango chutney (sookhe aam ki chutney),green chutney
coconut chutney (nariyal ki chutney),green chutney
tomato ginger chutney (tamatar adarak ki chutney),green chutney
mint tomato chutney (pudinay aur tamatar ki chutney),green chutney
coriander chutney (hare dhaniye ki chutney),green chutney
gooseberry chutney (amla chutney),green chutney
walnut chutney (akhrot ki chutney),green chutney
dessicated coconut chutney (sookhe kase nariyal ki chutney) ,green chutney
spicy chutney sandwich,green chutney
garlic chutney/poondu chutney (lahasun ki chutney),green chutney
onion chutney (pyaaz ki chutney/vengaya chutney),green chutney
dates chutney (khajoor ki chutney),green chutney
green chutney,green chutney
plum chutney (aloo bukhara ki chutney),green chutney
raw mango chutney (kachhe aam/kairi ki chutney),green chutney
tomato chutney (tamatar ki chutney),green chutney
jam tart,jam tart
cheese and mushroom tart,cheese and mushroom tart
apple cinnamon pie,fish pie
fish pie,fish pie
apple banana pie,fish pie
cream puffs,cream puffs
savoury puffs,cream puffs
chocolate eclairs,chocolate eclairs
cheese balls,cheese balls
cheese straws,cheese balls
minced meat patties,minced meat cutlet
minced meat pancake (with chicken),minced meat cutlet
minced meat ball curry,keema kofta curry
minced meat cutlet,minced meat cutlet
apple cake (seb ka cake),apple cake (seb ka cake)
banana cake (kele ka cake),apple cake (seb ka cake)
carrot cake (gajar ka cake),apple cake (seb ka cake)
fruit loaf ,fruit loaf 
fruit delight,fruit loaf 
chocolate chiffon cake,lemon chiffon pie
lemon chiffon pie,lemon chiffon pie
orange chiffon pie,lemon chiffon pie
christmas cake,christmas cake
strawberry and vanilla cake with butter icing,strawberry and vanilla cake with butter icing
butter icing,gum icing
chocolate butter icing,gum icing
royal icing,gum icing
gum icing,gum icing
swiss roll,swiss roll
chocolate swiss roll,swiss roll
black forest pastry,flan pastry
chocolate pastry,flan pastry
assorted pastry,flan pastry
flan pastry,flan pastry
short crust pastry,flan pastry
choux pastry,flan pastry
flaky pastry,flan pastry
coconut finger,coconut finger
chocolate walnut cookies (chocolate aur akhrot ke cookies),milk cookies
chocolate chip cookies,milk cookies
ice box cookies,milk cookies
cherry and walnut cookies,milk cookies
pumpkin cookies ,milk cookies
sunflower cookies,milk cookies
hazelnut cookies,milk cookies
milk cookies,milk cookies
sweet plain biscuit,jelly biscuit
chocolate biscuit,jelly biscuit
coconut biscuit (nariyal ke biscuit),jelly biscuit
sweet and salty biscuit (meethay aur namkeen biscuit),jelly biscuit
peanut biscuit,jelly biscuit
saffron biscuit (kesar biscuit),jelly biscuit
masala biscuit,jelly biscuit
coffee biscuit,jelly biscuit
almond biscuit (badam ke biscuit),jelly biscuit
orange biscuit,jelly biscuit
christmas biscuit,jelly biscuit
christmas wreath biscuit,jelly biscuit
christmas bell biscuit,jelly biscuit
christmas star biscuit,jelly biscuit
christmas tree biscuit,jelly biscuit
jelly biscuit,jelly biscuit
butterfly biscuit,jelly biscuit
sesame biscuit (til ke biscuit),jelly biscuit
finger millet biscuit (ragi biscuit),jelly biscuit
buttermilk biscuit,jelly biscuit
sweet potato biscuit (shakarkand ke biscuit),jelly biscuit
olive biscuit,jelly biscuit
ginger bread man,gingerman biscuit
ginger biscuit (adarak ke biscuit),gingerman biscuit
gingerman biscuit,gingerman biscuit
danish cookies,danish cookies
short bread cookies,short bread cookies
raspberry shortbread cookies,short bread cookies
melting moments,melting moments
wheat flour and moong dal burfi (atta aur moong dal ki burfi),gram flour burfi (besan burfi)
cracked wheat and green gram dal premix (dalia moong dal premix),cracked wheat and green gram dal premix (dalia moong dal premix)
pearl millet ladoo (bajra ladoo),amaranth ladoo (rajgira ladoo)
amaranth ladoo (rajgira ladoo),amaranth ladoo (rajgira ladoo)
paushtik ladoo,paushtik ladoo
paushtik roti,paushtik roti
dhokla,dhokla
khaman (dhokla),dhokla
instant dhokla,dhokla
dal dhokli,dhokla
hot chocolate,hot chocolate
chocolate sauce,chocolate sauce
jal jeera,jal jeera
gingo,gingo
mintade,mintade
canjee,canjee
cauliflower canjee (phoolgobhi ki canjee),canjee
potato canjee (aloo canjee),canjee
cauliflower potato canjee,canjee
semolina upma (suji/rava upma),semolina upma (suji/rava upma)
vermicelli upma (semiya/seviyan upma),semolina upma (suji/rava upma)
rice upma,rice upma
bread upma,rice upma
vegetable upma,rice upma
sprouts upma ,rice upma
poha,poha
vegetable poha,poha
meat consomme (with mutton),meat consomme (with mutton)
consomme au julienne,consomme au julienne
consomme au vermicelli,consomme au vermicelli
veg paneer stew,veg paneer stew
bathua poori,bathua poori
bathua bhujia,bathua poori
bathua raita,bathua poori
eggplant/brinjal rice (vangi bhat),eggplant/brinjal rice (vangi bhat)
plain khitchdi (plain khichri/khichdi),quinoa khichdi/khichri
spinach khichri (palak khichri/khichdi),quinoa khichdi/khichri
poshtik khichdi/khichri,quinoa khichdi/khichri
sago khitchdi/khichri (sabudana khitchdi/khichri),quinoa khichdi/khichri
quinoa khichdi/khichri,quinoa khichdi/khichri
vegetable khichdi/khichri,quinoa khichdi/khichri
cracked wheat khichri/khichdi (dalia khichri/khichdi),quinoa khichdi/khichri
masala dosa mixed vegetable fillings,masala dosa paneer fillings
masala dosa paneer fillings,masala dosa paneer fillings
appam,appam
banana appam,appam
beans and macaroni,beans and macaroni
meat and macaroni casserole,beans and macaroni
spaghetti bolognese,spaghetti bolognese
home made egg noodles,home made egg noodles
home made plain noodles,home made egg noodles
sour lentils (khatti dal),sour lentils (khatti dal)
arhar with spinach (arhar dal aur palak),arhar with spinach (arhar dal aur palak)
rasam with tamarind (puli rasam/ chintapandu rasam/ charu/saaru),rasam with tamarind (puli rasam/ chintapandu rasam/ charu/saaru)
rasam with lemon (nimmakaya rasam/nimmakaya charu/elumichai rasam/nimbe hannina saaru),rasam with lemon (nimmakaya rasam/nimmakaya charu/elumichai rasam/nimbe hannina saaru)
green gram whole with baghar (sabut moong dal with tadka),green gram whole with baghar (sabut moong dal with tadka)
kabuli channa curry,kabuli channa curry
besan gatte curry,besan gatte curry
soya chunks sweet and sour (nutrinugget sweet and sour),soya chunks korma (nutrinugget korma)
soya chunks korma (nutrinugget korma),soya chunks korma (nutrinugget korma)
soya chunks and peas (nutrinugget matar),soya chunks korma (nutrinugget korma)
spinach mushroom (palak mushroom),creamed spinach
creamed spinach and mushroom,creamed spinach
creamed spinach,creamed spinach
spinach mushroom scrambled egg (palak mushroom bhurji),scrambled egg (ande ki bhurji)
shahi chicken masala,handi chicken
afghani chicken,handi chicken
handi chicken,handi chicken
broccoli chicken ala king,broccoli delight
broccoli delight,broccoli delight
chicken sweet and sour,chicken sweet and sour
fish in coconut milk (nariyal ke doodh ke saath machli),fish curry (machli curry)
saffron milk (kesariya doodh),saffron milk (kesariya doodh)
prawn curry (with coconut) (jhinga curry),fish curry (machli curry)
prawn sandwich,prawn sandwich
curd with potatoes (dahi aloo),potato with curd
poha with curd (poha aur dahi),potato with curd
potato with curd,potato with curd
mooli bhujia,mooli bhujia
dry arbi (sookhi arbi),masala arbi
masala arbi,masala arbi
okra/lady's fingers fry (bhindi sabzi/sabji/subji),okra/lady's fingers fry (bhindi sabzi/sabji/subji)
crispy okra/crispy lady's fingers (karare bhindi),okra/lady's fingers fry (bhindi sabzi/sabji/subji)
beans foogath,beans foogath
stuffed bittergourd (wet) (bharwa karele),stuffed bittergourd (wet) (bharwa karele)
stuffed bittergourd (dry) (bharwa karela),stuffed bittergourd (wet) (bharwa karele)
yam fried (zimikand/suran fried),yam fried (zimikand/suran fried)
vegetable jalfrezi,vegetable jalfrezi
vegetable namkeen jave,vegetable jalfrezi
vegetables stir fry ,vegetables stir fry 
dhansak (vegetarian),dhansak (vegetarian)
roast potatoes ,roast potatoes 
stuffed baked potatoes ,roast potatoes 
potato nests,potato nests
potato aigrettes,potato nests
parsley potato,parsley potato
sour cream potato salad,sour cream potato salad
spring basket salad,spring basket salad
jellied sunshine fruit salad,spring basket salad
chicken and tomato towers,chicken and tomato towers
tomato aspic,tomato aspic
french dressing,curd dressing 
curd dressing ,curd dressing 
apple kheer (seb ki kheer),apple kheer (seb ki kheer)
apple sago payasam (seb aur sabudana ki kheer),apple kheer (seb ki kheer)
pear chocholate sunday,pear chocholate sunday
coffee pear alaska,coffee pear alaska
crunchy butterscotch,crunchy butterscotch
grape and orange whip,grape and orange whip
honey banana cream,honey banana cream
mashed banana with milk,honey banana cream
raspberry bavarian cream,raspberry bavarian cream
apricot fool,apricot fool
pavlova,pavlova
steamed cake with chocolate sauce,steamed cake with chocolate sauce
chum chum,chum chum
dil bahar,dil bahar
rasbhari,rasbhari
rasgulla,rasbhari
rasmalai,rasbhari
rajbogh,rajbogh
danedar burfi,danedar burfi
khoa ladoo,khoa ladoo
murmura chikki,soya chikki
soya chikki,soya chikki
masala green chilli pakora/pakoda (hari mirch kay pakode),green chilli raita (hari mirch ka raita)
green chilli raita (hari mirch ka raita),green chilli raita (hari mirch ka raita)
sago cutlet/vadas (sabudana cutlet/vadas),sago cutlet/vadas (sabudana cutlet/vadas)
poshtik cutlet,poshtik cutlet
saunth/sonth chutney with ginger,saunth/sonth chutney with ginger
gun powder chutney,gun powder chutney
curd mint dip ,curd dip
curd vegetable dip,curd dip
curd dip,curd dip
mint and peanut sandwich,mint and peanut sandwich
rolled sandwich,bread roll
bread roll,bread roll
ribbon sandwich,ribbon sandwich
checker board sandwich,checker board sandwich
danish luncheon sandwich,danish luncheon sandwich
lemon curd filling,lemon curd filling
jam filling,jam filling
orange gateau,orange gateau
black forest gateau,orange gateau
dundee cake,wheat cake
victorian sandwich cake,wheat cake
wheat cake,wheat cake
finger millet cake (ragi cake),wheat cake
chocolate glace icing,glace icing
glace icing,glace icing
chocolate cream shells,chocolate cream shells
fruit flan,fruit flan
orange cream flan,fruit flan
fruit puree tart,tomato puree
tomato puree,tomato puree
cream buns,cream buns
choux swans,choux swans
cream horns,cream horns
savoury cheese horns,cream horns
pearl millet infant food (bajra shishu aahaar),pearl millet infant food (bajra shishu aahaar)
sajina,sajina
cereal mix ,cereal mix 
vegetable mix,cereal mix 
pulse mix,pulse mix
shishu ahar,shishu ahar
cereal pulse mix with amylase rice flour,cereal pulse mix with amylase rice flour
banana groundnut paste/puree,banana groundnut paste/puree
chickpea flour cookies (sweet besan rounds/cookies),greenpea cookies
greenpea cookies,greenpea cookies
fermented bengal gram vada (khameerikrit/ufna hua channa dal ka vada),fermented bengal gram vada (khameerikrit/ufna hua channa dal ka vada)
poshtik namak paras,poshtik namak paras
besan bathua chilla/cheela,poshtik chilla/cheela
poshtik chilla/cheela,poshtik chilla/cheela
atta dal burfi ,atta dal burfi 
namkeen daliya,namkeen daliya
woodapple juice (bel ka sharbat),woodapple juice (bel ka sharbat)
sattu drink,sattu drink
apple and honey sorbet (seb aur shehad ka sharbat),apple and honey sorbet (seb aur shehad ka sharbat)
thandai,thandai
apple oats chia seed smoothie,apple oats chia seed smoothie
nannari sharbat,nannari sharbat
semolina milk drink (thari kanji),semolina milk drink (thari kanji)
kesari bath,kesari bath
putharekulu,putharekulu
mango malpua,mango malpua
chhena poda,chhena poda
sweet couscous dessert,sweet couscous dessert
sweetened yogurt (shrikhand),sweetened yogurt (shrikhand)
thickened sweetened milk (rabri),thickened sweetened milk (rabri)
kidney bean sandwich with cottage cheese,kidney bean sandwich with cottage cheese
cardamom cookies (elaichi cookies),cardamom cookies (elaichi cookies)
almond cardamom cake (badam elaichi cake),cardamom cookies (elaichi cookies)
cranberry cookies,cranberry cookies
tutti fruitti biscuit,tutti fruitti biscuit
tutti frutti cake,tutti frutti cake
peach blueberry preserves,peach blueberry preserves
pear preserves (naashpati ka murabba),pear preserves (naashpati ka murabba)
starfruit preserves ,starfruit preserves 
gooseberry pickle (amla ka achaar),mango pickle (aam ka achaar)
date pickle (khajoor ka achaar),mango pickle (aam ka achaar)
garlic pickle (lahasun ka achar),mango pickle (aam ka achaar)
sweet peach pickle (aadoo ka achaar),mango pickle (aam ka achaar)
green tomato pickle (haray tamatar ka achaar),mango pickle (aam ka achaar)
coconut pickle (nariyal ka aachar),mango pickle (aam ka achaar)
potato pickle (aloo ka achaar),mango pickle (aam ka achaar)
mango pickle (aam ka achaar),mango pickle (aam ka achaar)
mixed vegetable pickle (sabziyoon ka achaar),mango pickle (aam ka achaar)
sweet lemon pickle (neembu ka meetha achaar),mango pickle (aam ka achaar)
lemon green chilli pickle (nimboo aur hari mirch ka achaar),mango pickle (aam ka achaar)
brinjal pickle (baingan ka achaar),mango pickle (aam ka achaar)
sweet and sour tomato pickle (khatta meetha tamatar ka achaar),mango pickle (aam ka achaar)
fermented bamboo shoot pickle (mesu pickle),fermented bamboo shoot pickle (mesu pickle)
pickled mustard greens ,pickled cabbage 
small onion pickle ,pickled cabbage 
pickled cabbage ,pickled cabbage 
mango murabba candy,mango murabba candy
fish orly,fish orly
chicken manchurian,veg manchurian
cabbage manchurian (pattagobhi manchurian),veg manchurian
veg manchurian,veg manchurian
lemon butter fish,lemon butter fish
baked eggs in tomato sauce,baked eggs in tomato sauce
egg in a pepper,egg in a pepper
cajun chicken,cajun chicken
paaner do pyaza,pav bhaji
pav bhaji masala,pav bhaji
pav bhaji,pav bhaji
gobi 65,gobi 65
roasted cauliflower steak,roasted cauliflower steak
sauteed radishes with green beans,sauteed radishes with green beans
schezwan chutney,schezwan chutney
kale salad,kale salad
khakhra,khakhra
khakhra chaat,khakhra
moong bean dosa (pesarattu),moong bean dosa (pesarattu)
rice puttu (ari puttu),rice puttu (ari puttu)
spicy corn chaat ,spicy corn chaat 
banana chips (kele ke chips),banana chips (kele ke chips)
mango cheesecake,mango cheesecake
semolina cake (suji/rava cake),semolina cake (suji/rava cake)
dalma,dalma
panchmel dal,dalma
horsegram dal (kulthi dal) ,horsegram dal (kulthi dal) 
gujarati handvo ,gujarati handvo 
sev (omapodi/karapusa),sev (omapodi/karapusa)
papdi,papdi
classic seasoned black beans,classic seasoned black beans
white sauce (thin),brown sauce
white sauce (medium),brown sauce
white sauce (thick),brown sauce
cheese sauce,brown sauce
mushroom sauce,brown sauce
mustard sauce,brown sauce
brown sauce,brown sauce
pasta cheese sauce,brown sauce
tomato sauce,brown sauce
tartare sauce,brown sauce
barbeque sauce,brown sauce
bread sauce,brown sauce
hot cherry sauce,brown sauce
low calorie quick mayonnaise,low calorie quick mayonnaise
thousand island dressing,thousand island dressing
american frosting,american frosting
channa murmura premix,channa murmura premix
lemon squash (nimbu ka squash),lichi squash
orange squash (santre ka squash),lichi squash
lichi squash,lichi squash
mango squash (aam ka squash),lichi squash
lemon and ginger squash (nimbu aur adrak ka squash),lichi squash
plum squash (aloo bukhara squash),lichi squash
apple jam (seb ka murabba),apple jam (seb ka murabba)
plum jam (aloo bukhara jam),apple jam (seb ka murabba)
guava jelly (amrood ki jelly),apple jelly (seb ki jelly)
apple jelly (seb ki jelly),apple jelly (seb ki jelly)
orange marmalade (santray ka murabba),marmalade (murabba)
gooseberry marmalade (amla murabba),marmalade (murabba)
marmalade (murabba),marmalade (murabba)
ginger candy (adrak ki candy),ginger candy (adrak ki candy)
garam masala,garam masala
chat masala,chat masala
rasam powder (rasam masala),rasam powder (rasam masala)
cumin seeds baghar (jeera baghar/tadka),cumin seeds baghar (jeera baghar/tadka)
mustard seeds baghar (mustard seed tadka),cumin seeds baghar (jeera baghar/tadka)
tomato ketchup,tomato ketchup
bengal 5 spice blend (panch phoran),bengal 5 spice blend (panch phoran)
